rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_practical_vfm
693,22,FIFA 22,male,244389,Fernando,Fernando Dos Santos Pedro,22,ST,ATT,70,81,75.4575,3600000.0,550.0,28600.0,3628600.0,3.6286,96.39789703815522,90.27119879235856,97.0485659257717,0.3757599354375591,2.1529643488201917,Shakhtar Donetsk,Ukrainian Premier League,Brazil,https://sofifa.com/player/244389/fernando-dos-santos-pedro/220002,high_perf_high_cost__premium_star,21
720,22,FIFA 22,male,242818,F. Dahmen,Finn Gilbert Dahmen,23,GK,GK,70,80,75.28999999999999,3100000.0,8000.0,416000.0,3516000.0,3.516,96.25735255843009,90.13065431263338,96.90802144604652,0.3709657166093292,2.12320489355929,1. FSV Mainz 05,German 1. Bundesliga,Germany,https://sofifa.com/player/242818/finn-dahmen/220002,high_perf_high_cost__premium_star,22
741,22,FIFA 22,male,242602,J. Vagnoman,Josha Mamadou Karaboue Vagnoman,20,RB,DEF,71,82,76.14,3900000.0,7000.0,364000.0,4264000.0,4.264,96.1480401853105,88.4128884493259,96.9184321482484,0.3678700653873765,2.1303924834879524,Hamburger SV,German 2. Bundesliga,Germany,https://sofifa.com/player/242602/josha-vagnoman/220002,high_perf_high_cost__premium_star,23
759,22,FIFA 22,male,233885,E. Cömert,Eray Ervin Cömert,23,CB,DEF,71,82,76.185,3900000.0,8000.0,416000.0,4316000.0,4.316,96.05434386549372,88.16303159648118,96.8872000416428,0.3661149688569159,2.122427754110447,FC Basel 1893,Swiss Super League,Switzerland,https://sofifa.com/player/233885/eray-comert/220002,high_perf_high_cost__premium_star,24
767,22,FIFA 22,male,243133,J. Scally,Joseph Scally,18,RB,DEF,62,81,69.7175,975000.0,1000.0,52000.0,1027000.0,1.027,96.01270105668628,95.78366560824529,95.86174587475924,0.3630656256023155,1.9282134810398333,Borussia Mönchengladbach,German 1. Bundesliga,United States,https://sofifa.com/player/243133/joe-scally/220002,mid_market,25
771,22,FIFA 22,male,261143,M. Bulat,Marko Bulat,19,CM,MID,69,84,74.995,3300000.0,500.0,26000.0,3326000.0,3.326,95.99187965228252,89.90161886419239,96.66336994430274,0.362551844994661,2.070948367548425,Dinamo Zagreb,Croatian Prva HNL,Croatia,https://sofifa.com/player/261143/marko-bulat/220002,high_perf_high_cost__premium_star,26
776,22,FIFA 22,male,258942,O. Popescu,Octavian George Popescu,18,LW,ATT,70,85,75.71499999999999,3700000.0,4000.0,208000.0,3908000.0,3.908,95.96585289677788,88.61589714226224,96.7362448597158,0.3617030030293324,2.08633721844501,FCSB (Steaua),Romanian Liga I,Romania,https://sofifa.com/player/258942/octavian-popescu/220002,high_perf_high_cost__premium_star,27
793,22,FIFA 22,male,261444,A. Baldé,Aliou Badara Baldé,18,RW,ATT,63,81,70.585,1200000.0,1000.0,52000.0,1252000.0,1.252,95.87736192806204,95.08614856072042,95.87215657696112,0.3588686551903351,1.930107335669362,Feyenoord,Holland Eredivisie,Senegal,https://sofifa.com/player/261444/aliou-balde/220002,mid_market,28
794,22,FIFA 22,male,264266,F. Fofana,Fodé Fofana,18,ST,ATT,64,84,71.97,1600000.0,2000.0,104000.0,1704000.0,1.704,95.87215657696112,93.76398938108376,96.07516526989744,0.3588659219106151,1.9682587609489983,PSV,Holland Eredivisie,Netherlands,https://sofifa.com/player/264266/fode-fofana/220002,mid_market,29
806,22,FIFA 22,male,263339,C. Rushworth,Carl Rushworth,19,GK,GK,63,80,70.2,1100000.0,1000.0,52000.0,1152000.0,1.152,95.80969236374992,95.26833584925302,95.75243350163969,0.3568362988853009,1.9088391934061804,Walsall,English League Two,England,https://sofifa.com/player/263339/carl-rushworth/220002,mid_market,30
820,22,FIFA 22,male,250831,C. Boyce-Clarke,Coniah Boyce-Clarke,18,GK,GK,59,81,67.78999999999999,650000.0,500.0,26000.0,676000.0,0.676,95.7368174483369,96.5904950288897,95.12779136952788,0.3540986204631897,1.828069997837062,Reading,English League Championship,England,https://sofifa.com/player/250831/coniah-boyce-clarke/220002,mid_market,31
828,22,FIFA 22,male,262641,D. Touré,Djibril Fandje Touré,18,ST,ATT,60,83,69.225,775000.0,3000.0,156000.0,931000.0,0.931,95.69517463952944,95.79928166154808,95.3932642756754,0.3535107495711107,1.864530438052668,Watford,English Premier League,Guinea,https://sofifa.com/player/262641/djibril-fandje-toure/220002,mid_market,32
837,22,FIFA 22,male,263139,D. Greif,Dominik Greif,24,GK,GK,72,80,76.83,4500000.0,11000.0,572000.0,5072000.0,5.072,95.64832647962103,85.25844568216127,96.61652178439437,0.3512341012823887,2.0621575626236397,RCD Mallorca,Spain Primera Division,Slovakia,https://sofifa.com/player/263139/dominik-greif/220002,high_perf_high_cost__premium_star,33
847,22,FIFA 22,male,242280,L. Ferguson,Lewis Ferguson,21,CM,MID,71,82,76.24499999999999,4200000.0,5000.0,260000.0,4460000.0,4.46,95.59627296861171,86.28910520014576,96.51241476237573,0.3498963018085914,2.039020789178096,Aberdeen,Scottish Premiership,Scotland,https://sofifa.com/player/242280/lewis-ferguson/220002,high_perf_high_cost__premium_star,34
861,22,FIFA 22,male,263823,S. Mannsverk,Sivert Mannsverk,19,CDM,MID,64,82,71.17,1400000.0,850.0,44200.0,1444200.0,1.4442,95.52339805319868,94.050283691635,95.56504086200614,0.348353445865827,1.8910798673579308,Molde FK,Norwegian Eliteserien,Norway,https://sofifa.com/player/263823/sivert-mannsverk/220002,mid_market,35
866,22,FIFA 22,male,257273,J. Olschowsky,Jan Jakob Olschowsky,19,GK,GK,63,80,70.35,1100000.0,2000.0,104000.0,1204000.0,1.204,95.4999739732445,94.79725157461873,95.4166883556296,0.3478656440314362,1.8659252092653416,Borussia Mönchengladbach,German 1. Bundesliga,Germany,https://sofifa.com/player/257273/jan-olschowsky/220002,mid_market,36
869,22,FIFA 22,male,254541,M. Juwara,Musa Juwara,19,ST,ATT,67,85,74.23,2700000.0,3000.0,156000.0,2856000.0,2.856,95.48175524439124,89.84436000208214,96.09078132320025,0.3476359787079225,1.9716399490910133,Crotone,Italian Serie B,Gambia,https://sofifa.com/player/254541/musa-juwara/220002,high_perf_high_cost__premium_star,37
879,22,FIFA 22,male,228505,P. Pentz,Patrick Pentz,24,GK,GK,72,80,76.71000000000001,4500000.0,9000.0,468000.0,4968000.0,4.968,95.42970173338192,84.94091926500442,96.46556660246732,0.3462450205431178,2.032685069391292,FK Austria Wien,Austrian Football Bundesliga,Austria,https://sofifa.com/player/228505/patrick-pentz/220002,high_perf_high_cost__premium_star,38
884,22,FIFA 22,male,247736,C. Olses,Carlos Raúl Olses Quijada,20,GK,GK,64,81,71.10000000000001,1400000.0,500.0,26000.0,1426000.0,1.426,95.40367497787726,93.9669980740201,95.48696059549216,0.3459403571409131,1.87649523665074,Deportivo La Guaira FC,Venezuelan Primera División,Venezuela,https://sofifa.com/player/247736/carlos-olses/220002,mid_market,39
923,22,FIFA 22,male,254803,S. Lammens,Senne Lammens,18,GK,GK,64,81,70.74,1300000.0,500.0,26000.0,1326000.0,1.326,95.20066628494092,94.02425693613034,95.15902347613348,0.3397651623023937,1.834188492896402,Club Brugge KV,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/254803/senne-lammens/220002,mid_market,40
925,22,FIFA 22,male,211101,Rubén Blanco,Rubén Blanco Veiga,25,GK,GK,75,79,78.07,6000000.0,15000.0,780000.0,6780000.0,6.78,95.19025558273906,81.35443235646245,96.4759773046692,0.3393375307623671,2.033934924156384,RC Celta de Vigo,Spain Primera Division,Spain,https://sofifa.com/player/211101/ruben-blanco-veiga/220002,high_perf_high_cost__premium_star,41
